index,lat,long,time,significant_wave_height,energy_wave_period,mean_wave_direction
277,41.0,6.0,2019-01-12 13:00:00,3.407375,7.73862,322.649
278,41.0,6.0,2019-01-12 14:00:00,3.4029934,7.7758303,321.98486
279,41.0,6.0,2019-01-12 15:00:00,3.3884273,7.7900352,321.07925
280,41.0,6.0,2019-01-12 16:00:00,3.3977828,7.773567,320.0474
281,41.0,6.0,2019-01-12 17:00:00,3.4651663,7.734723,319.09784
282,41.0,6.0,2019-01-12 18:00:00,3.6030123,7.698267,318.63132
283,41.0,6.0,2019-01-12 19:00:00,3.6790407,7.6005907,318.7411
284,41.0,6.0,2019-01-12 20:00:00,3.785741,7.637298,318.79047
285,41.0,6.0,2019-01-12 21:00:00,3.8496904,7.6986446,318.70816
286,41.0,6.0,2019-01-12 22:00:00,3.950351,7.7687902,318.69717
287,41.0,6.0,2019-01-12 23:00:00,4.0698414,7.8619413,318.47763
288,41.0,6.0,2019-01-13 00:00:00,4.3326254,7.9656515,318.1538
289,41.0,6.0,2019-01-13 01:00:00,4.7395315,8.12568,317.9123
290,41.0,6.0,2019-01-13 02:00:00,5.10345,8.323924,317.57202
291,41.0,6.0,2019-01-13 03:00:00,5.0893574,8.299662,317.7641
292,41.0,6.0,2019-01-13 04:00:00,5.200321,8.438319,317.80255
293,41.0,6.0,2019-01-13 05:00:00,5.1909657,8.516762,317.65436
294,41.0,6.0,2019-01-13 06:00:00,5.386247,8.618336,318.36786
295,41.0,6.0,2019-01-13 07:00:00,5.674137,8.694389,319.976
296,41.0,6.0,2019-01-13 08:00:00,6.037937,8.827013,321.2988
297,41.0,6.0,2019-01-13 09:00:00,6.300602,8.959385,322.03427
298,41.0,6.0,2019-01-13 10:00:00,6.476818,9.073656,322.72034
299,41.0,6.0,2019-01-13 11:00:00,6.425777,9.146944,323.2253
300,41.0,6.0,2019-01-13 12:00:00,6.2211394,9.158509,323.27472
301,41.0,6.0,2019-01-13 13:00:00,6.040305,9.118408,323.09357
302,41.0,6.0,2019-01-13 14:00:00,5.8859982,9.068752,322.9948
303,41.0,6.0,2019-01-13 15:00:00,5.6633606,9.012938,322.4624
304,41.0,6.0,2019-01-13 16:00:00,5.4408407,8.949831,321.58423
305,41.0,6.0,2019-01-13 17:00:00,5.233243,8.876417,320.76093
306,41.0,6.0,2019-01-13 18:00:00,5.06508,8.803003,320.1956
307,41.0,6.0,2019-01-13 19:00:00,4.962051,8.724309,319.73456
308,41.0,6.0,2019-01-13 20:00:00,4.921668,8.659191,319.47107
309,41.0,6.0,2019-01-13 21:00:00,4.9577875,8.623867,319.74002
310,41.0,6.0,2019-01-13 22:00:00,4.934103,8.644106,321.37015
311,41.0,6.0,2019-01-13 23:00:00,4.9069834,8.649385,322.24835
312,41.0,6.0,2019-01-14 00:00:00,5.022329,8.611422,322.28674
313,41.0,6.0,2019-01-14 01:00:00,5.185755,8.587788,322.57764
314,41.0,6.0,2019-01-14 02:00:00,5.2576385,8.576726,323.34058
315,41.0,6.0,2019-01-14 03:00:00,5.20565,8.550452,324.1474
316,41.0,6.0,2019-01-14 04:00:00,5.081541,8.479176,324.2846
317,41.0,6.0,2019-01-14 05:00:00,4.8676667,8.348688,324.05957
318,41.0,6.0,2019-01-14 06:00:00,4.8319025,8.321033,323.851
319,41.0,6.0,2019-01-14 07:00:00,4.8576007,8.3328495,323.80713
320,41.0,6.0,2019-01-14 08:00:00,4.928774,8.382002,324.38342
321,41.0,6.0,2019-01-14 09:00:00,5.0287237,8.458559,325.5086
322,41.0,6.0,2019-01-14 10:00:00,5.1407533,8.545801,326.02454
323,41.0,6.0,2019-01-14 11:00:00,5.3732204,8.614439,326.35385
324,41.0,6.0,2019-01-14 12:00:00,5.650571,8.682824,326.17273
325,41.0,6.0,2019-01-14 13:00:00,5.819562,8.776352,325.9532
326,41.0,6.0,2019-01-14 14:00:00,5.9839354,8.867366,325.8983
327,41.0,6.0,2019-01-14 15:00:00,6.0110545,8.940026,325.88184
328,41.0,6.0,2019-01-14 16:00:00,5.976119,8.972711,325.8105
329,41.0,6.0,2019-01-14 17:00:00,5.717954,8.823242,325.6897
330,41.0,6.0,2019-01-14 18:00:00,5.774561,8.829276,325.547
331,41.0,6.0,2019-01-14 19:00:00,5.8322334,8.842602,325.5415
332,41.0,6.0,2019-01-14 20:00:00,5.8666954,8.86108,325.6074
333,41.0,6.0,2019-01-14 21:00:00,5.8859982,8.874406,325.8983
334,41.0,6.0,2019-01-14 22:00:00,5.92117,8.881571,326.513
335,41.0,6.0,2019-01-14 23:00:00,5.836497,8.904702,327.46255
336,41.0,6.0,2019-01-15 00:00:00,5.715941,8.909353,328.53284
337,41.0,6.0,2019-01-15 01:00:00,5.6447678,8.888863,329.54276
338,41.0,6.0,2019-01-15 02:00:00,5.51379,8.860955,330.33862
339,41.0,6.0,2019-01-15 03:00:00,5.286771,8.811802,330.98627
340,41.0,6.0,2019-01-15 04:00:00,4.9881043,8.750205,331.46378
341,41.0,6.0,2019-01-15 05:00:00,4.6770034,8.673019,331.73822
342,41.0,6.0,2019-01-15 06:00:00,4.3558364,8.587159,331.67236
343,41.0,6.0,2019-01-15 07:00:00,4.0308795,8.491494,331.28265
344,41.0,6.0,2019-01-15 08:00:00,3.7303185,8.364402,330.94235
345,41.0,6.0,2019-01-15 09:00:00,3.4478762,8.225242,330.65692
346,41.0,6.0,2019-01-15 10:00:00,3.1962245,8.072882,330.30017
347,41.0,6.0,2019-01-15 11:00:00,2.9435067,7.943904,329.86658
348,41.0,6.0,2019-01-15 12:00:00,2.706658,7.821965,329.40552
349,41.0,6.0,2019-01-15 13:00:00,2.4839015,7.713352,328.89508
350,41.0,6.0,2019-01-15 14:00:00,2.2796192,7.6051164,328.37366
351,41.0,6.0,2019-01-15 15:00:00,2.0964167,7.47991,327.95654
352,41.0,6.0,2019-01-15 16:00:00,1.9307411,7.342006,327.6272
353,41.0,6.0,2019-01-15 17:00:00,1.7797499,7.1951776,327.35278
