"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-15 00:00:00', '0.6820773', '3.7361007')",0.8516905836708275
"('2019-01-15 01:00:00', '0.7412884', '3.6486335')",0.9824279952529017
"('2019-01-15 02:00:00', '0.7954074', '3.6554973')",1.133239755362241
"('2019-01-15 03:00:00', '0.911698', '3.731092')",1.5196166454845241
"('2019-01-15 04:00:00', '1.1095817', '3.9434063')",2.378954724878086
"('2019-01-15 05:00:00', '1.416532', '4.332696')",4.2599752696955155
"('2019-01-15 06:00:00', '1.532882', '4.5996423')",5.295873323492628
"('2019-01-15 07:00:00', '1.5243556', '4.7807913')",5.443377409833314
"('2019-01-15 08:00:00', '1.4628944', '4.8822646')",5.119686259266005
"('2019-01-15 09:00:00', '1.3899463', '4.9177895')",4.655454205503961
"('2019-01-15 10:00:00', '1.3014848', '4.920572')",4.08403891594176
"('2019-01-15 11:00:00', '1.2056221', '4.901372')",3.490889855418556
"('2019-01-15 12:00:00', '1.1413188', '4.8121424')",3.071485664209963
"('2019-01-15 13:00:00', '1.1272857', '4.6654053')",2.9050489467422667
"('2019-01-15 14:00:00', '1.1958523', '4.514865')",3.163704667498663
"('2019-01-15 15:00:00', '1.2662542', '4.4787836')",3.5188273353405197
"('2019-01-15 16:00:00', '1.2805834', '4.5139375')",3.627165376827305
"('2019-01-15 17:00:00', '1.245708', '4.5685697')",3.473832245476798
"('2019-01-15 18:00:00', '1.1670164', '4.609938')",3.076416152627492
"('2019-01-15 19:00:00', '1.0625088', '4.6346107')",2.5637425500316757
"('2019-01-15 20:00:00', '0.9549813', '4.662901')",2.0837327132470707
"('2019-01-15 21:00:00', '0.86338174', '4.648988')",1.6980881211467234
"('2019-01-15 22:00:00', '0.7889533', '4.5669928')",1.3929290668052947
"('2019-01-15 23:00:00', '0.7304528', '4.4350963')",1.1595339011001846
"('2019-01-16 00:00:00', '0.6817812', '4.2865043')",0.9763137070595722
"('2019-01-16 01:00:00', '0.64441895', '4.1165786')",0.837662546924306
"('2019-01-16 02:00:00', '0.61552393', '3.9355223')",0.7306145912444222
